model_id,provider,open,url,release_date,size,input_cost,output_cost,display_name,is_reasoning,is_vision
fw-deepseek-v3p1,DeepSeek-AI,True,https://huggingface.co/deepseek-ai/DeepSeek-V3.1,08/2025,671000000000.0,0.56,1.68,Deepseek V3.1,False,True
fw-deepseek-v3p2,DeepSeek-AI,True,https://huggingface.co/deepseek-ai/DeepSeek-V3.2,12/2025,685000000000.0,0.56,1.68,Deepseek V3.2,False,True
liquid-lfm-7b,Liquid AI,False,https://www.liquid.ai/lfm-7b,01/2025,7000000000.0,0.01,0.01,LFM-7B,False,False
liquid-lfm-3b,Liquid AI,False,https://www.liquid.ai/liquid-foundation-models,09/2024,3100000000.0,0.02,0.02,LFM-3B,False,False
lfm2-1.2b-f16-gguf,Liquid AI,True,https://huggingface.co/LiquidAI/LFM2-1.2B-GGUF,07/2025,1200000000.0,,,LFM2-1.2B,False,False
lfm2-700m-f16-gguf,Liquid AI,True,https://huggingface.co/LiquidAI/LFM2-700M-GGUF,07/2025,700000000.0,,,LFM2-700M,False,False
lfm2-350m-f16-gguf,Liquid AI,True,https://huggingface.co/LiquidAI/LFM2-350M-GGUF,07/2025,350000000.0,,,LFM2-350M,False,False
lfm2-8b-a1b,Liquid AI,True,https://huggingface.co/LiquidAI/LFM2-8B-A1B,10/2025,8000000000.0,0.05,0.10,LFM2-8B-A1B,False,False
hf-lfm2-2.6b,Liquid AI,True,https://huggingface.co/LiquidAI/LFM2-2.6B,10/2025,2600000000.0,,,LFM2-2.6B,False,False
hf-lfm2.5-1.2b-instruct,Liquid AI,True,https://huggingface.co/LiquidAI/LFM2.5-1.2B-Instruct,01/2026,1200000000.0,,,LFM2.5-1.2B,False,False
hf-lfm2-5-vl-1-6b,Liquid AI,True,https://huggingface.co/LiquidAI/LFM2.5-VL-1.6B,11/2025,1600000000.0,,,LFM2.5 VL 1.6B,False,True
doubao-1.5-pro-32k,ByteDance,False,https://www.volcengine.com/product/doubao,01/2025,,0.11,0.28,Doubao-1.5 Pro,False,False
doubao-1.5-lite-32k,ByteDance,False,https://www.volcengine.com/product/doubao,01/2025,,0.041,0.083,Doubao-1.5 Lite,False,False
doubao-1-5-vision-pro-32k,ByteDance,False,https://www.volcengine.com/product/doubao,01/2025,,0.21,0.62,Doubao-1.5 Vision Pro,False,True
sonar,Perplexity,False,https://docs.perplexity.ai/home,01/2025,,1.0,1.0,Sonar,False,False
cohere-command-a,Cohere,True,https://huggingface.co/CohereForAI/c4ai-command-a-03-2025,03/2025,111000000000.0,2.5,10.0,Command A,False,False
ernie-4.5-8k-preview,Baidu,False,https://cloud.baidu.com/doc/WENXINWORKSHOP/s/dm8ag8pbl,03/2025,,0.55,2.2,ERNIE 4.5,False,False
hf-smollm2-135m-instruct,Hugging Face,True,https://huggingface.co/HuggingFaceTB/SmolLM2-135M-Instruct,02/2025,135000000.0,,,SmolLM2-135M,False,False
hf-smollm2-360m-instruct,Hugging Face,True,https://huggingface.co/HuggingFaceTB/SmolLM2-360M-Instruct,02/2025,360000000.0,,,SmolLM2-360M,False,False
hf-smollm2-1-7b-instruct,Hugging Face,True,https://huggingface.co/HuggingFaceTB/SmolLM2-1.7B-Instruct,02/2025,1700000000.0,,,SmolLM2-1.7B,False,False
hf-smollm3-3b-instruct,Hugging Face,True,https://huggingface.co/HuggingFaceTB/SmolLM3-3B,07/2025,3000000000.0,,,SmolLM3-3B,False,False
hf-smollm3-3b-base,Hugging Face,True,https://huggingface.co/HuggingFaceTB/SmolLM3-3B-Base,07/2025,3000000000.0,,,SmolLM3-3B Base,False,False
fw-kimi-k2-instruct-0905,Moonshot AI,True,https://huggingface.co/moonshotai/Kimi-K2-Instruct-0905,09/2025,1000000000000.0,0.6,2.50,Kimi K2,False,False
fw-kimi-k2-thinking,Moonshot AI,True,https://huggingface.co/moonshotai/Kimi-K2-Thinking,11/2025,1000000000000.0,0.6,2.50,Kimi K2 Thinking,True,False
glm-4.1v-9b-thinking,Z.ai,True,https://huggingface.co/THUDM/GLM-4.1V-9B-Thinking,07/2025,9000000000.0,0.035,0.138,GLM-4.1V-9B Thinking,True,True
fw-glm-4.5,Z.ai,True,https://huggingface.co/zai-org/GLM-4.5,07/2025,355000000000.0,0.55,2.19,GLM-4.5,False,False
fw-glm-4.5-air,Z.ai,True,https://huggingface.co/zai-org/GLM-4.5-Air,07/2025,106000000000.0,0.22,0.88,GLM-4.5 Air,False,False
fw-glm-4.6,Z.ai,True,https://huggingface.co/zai-org/GLM-4.6,09/2025,357000000000.0,0.55,2.19,GLM-4.6,False,False
fw-glm-4.7,Z.ai,True,https://huggingface.co/zai-org/GLM-4.7,12/2025,358000000000.0,0.60,2.20,GLM-4.7,False,False
glm-4.6v,Z.ai,True,https://openrouter.ai/z-ai/glm-4.6v,12/2025,106000000000.0,0.30,0.90,GLM-4.6V,False,True
hf-olmo-2-0425-1b-instruct,Ai2,True,https://huggingface.co/allenai/OLMo-2-0425-1B-Instruct,04/2025,1000000000.0,,,Olmo-2 1B,False,False
hf-olmo-2-1124-7b-instruct,Ai2,True,https://huggingface.co/allenai/OLMo-2-1124-7B-Instruct,11/2024,7000000000.0,,,Olmo-2 7B,False,False
hf-olmo-2-1124-13b-instruct,Ai2,True,https://huggingface.co/allenai/OLMo-2-1124-13B-Instruct,11/2024,13000000000.0,,,Olmo-2 13B,False,False
hf-olmo-2-0325-32b-instruct,Ai2,True,https://huggingface.co/allenai/OLMo-2-0325-32B-Instruct,03/2025,32000000000.0,,,Olmo-2 32B,False,False
olmo-3.1-32b-think,Ai2,True,https://huggingface.co/allenai/Olmo-3.1-32B-Think,12/2025,32000000000.0,0.2,0.6,Olmo-3.1 32B Think,True,False
olmo-3.1-32b-instruct,Ai2,True,https://huggingface.co/allenai/Olmo-3.1-32B-Instruct,12/2025,32000000000.0,0.2,0.6,Olmo-3.1 32B,False,False
olmo-3-7b-think,Ai2,True,https://huggingface.co/allenai/Olmo-3-7B-Think,11/2025,7000000000.0,0.12,0.2,Olmo-3 7B Think,True,False
olmo-3-7b-instruct,Ai2,True,https://huggingface.co/allenai/Olmo-3-7B-Instruct,11/2025,7000000000.0,0.1,0.2,Olmo-3 7B,False,False
fw-minimax-m2p1,MiniMax,True,https://huggingface.co/MiniMaxAI/MiniMax-M2.1,12/2025,229000000000.0,0.3,1.2,MiniMax-M2.1,False,False
kimi-k2.5,Moonshot AI,True,https://huggingface.co/moonshotai/Kimi-K2.5,01/2026,1000000000000.0,0.6,2.5,Kimi K2.5,True,True
